2021-10-07 20:17:24 UTC Syncing #13373856 0xe09b…8ed1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873474 LI:#13373901   21/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:38 UTC Syncing #13373857 0xb972…76f2     0.10 blk/s   21.8 tx/s    1.4 Mgas/s      0+   44 Qed Ancient:#12873475 LI:#13373901   22/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:38 UTC Syncing #13373857 0xb972…76f2     0.20 blk/s   43.6 tx/s    2.9 Mgas/s      0+   44 Qed Ancient:#12873475 LI:#13373901   22/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:39 UTC Syncing #13373857 0xb972…76f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873475 LI:#13373902   22/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:44 UTC Syncing #13373857 0xb972…76f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12873475 LI:#13373903   12/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:56 UTC Syncing #13373857 0xb972…76f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12873475 LI:#13373903   13/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:17:56 UTC Syncing #13373857 0xb972…76f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12873475 LI:#13373903   13/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:04 UTC Syncing #13373858 0xd17e…f30b     0.20 blk/s   56.6 tx/s    5.5 Mgas/s      0+   46 Qed Ancient:#12873476 LI:#13373904   16/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:04 UTC Syncing #13373860 0x44e7…d2ee     0.40 blk/s   26.2 tx/s    1.8 Mgas/s      0+   44 Qed Ancient:#12873478 LI:#13373904   16/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:14 UTC Syncing #13373860 0x44e7…d2ee     0.20 blk/s    7.4 tx/s    0.6 Mgas/s      0+   43 Qed Ancient:#12873479 LI:#13373904   16/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:14 UTC Syncing #13373860 0x44e7…d2ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12873479 LI:#13373904   15/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:19 UTC Syncing #13373860 0x44e7…d2ee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   43 Qed Ancient:#12873479 LI:#13373904   10/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:33 UTC Syncing #13373861 0xfb4f…8eeb     0.12 blk/s   37.9 tx/s    2.6 Mgas/s      0+   44 Qed Ancient:#12873479 LI:#13373905   10/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:44 UTC Syncing #13373862 0x3f1a…3bfb     0.09 blk/s    9.3 tx/s    0.5 Mgas/s      0+   45 Qed Ancient:#12873721 LI:#13373907    9/25 peers     12 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 20:18:44 UTC Syncing #13373861 0xfb4f…8eeb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#12873492 LI:#13373907    9/25 peers      7 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
