2021-10-06 00:50:35 UTC Syncing #13362256 0xc6d9…49a4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   49 Qed Ancient:#12343643 LI:#13362304   19/25 peers      7 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:44 UTC Syncing #13362258 0x3fb3…7f59     0.40 blk/s   59.9 tx/s    4.3 Mgas/s      0+   48 Qed Ancient:#12343645 LI:#13362305   19/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:45 UTC Syncing #13362258 0x3fb3…7f59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343645 LI:#13362305   19/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:50:50 UTC Syncing #13362258 0x3fb3…7f59     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343645 LI:#13362305   19/25 peers      4 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:02 UTC Syncing #13362259 0xee7a…1648     0.10 blk/s   10.1 tx/s    1.5 Mgas/s      0+   47 Qed Ancient:#12343646 LI:#13362305   20/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:02 UTC Syncing #13362259 0xee7a…1648     0.20 blk/s   20.2 tx/s    3.1 Mgas/s      0+   47 Qed Ancient:#12343646 LI:#13362305   20/25 peers      5 MiB chain   13 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:05 UTC Syncing #13362259 0xee7a…1648     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343646 LI:#13362306   19/25 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:10 UTC Syncing #13362259 0xee7a…1648     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343646 LI:#13362306   21/25 peers      6 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:15 UTC Syncing #13362259 0xee7a…1648     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343646 LI:#13362306   22/25 peers      7 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:20 UTC Syncing #13362259 0xee7a…1648     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343646 LI:#13362306   22/25 peers      8 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:25 UTC Syncing #13362259 0xee7a…1648     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343646 LI:#13362306   26/50 peers      7 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:30 UTC Syncing #13362259 0xee7a…1648     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   48 Qed Ancient:#12343646 LI:#13362306   26/50 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:37 UTC Syncing #13362261 0x46db…2089     0.40 blk/s   88.6 tx/s    6.0 Mgas/s      0+   46 Qed Ancient:#12343648 LI:#13362306   26/50 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 00:51:40 UTC Syncing #13362261 0x46db…2089     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   46 Qed Ancient:#12343648 LI:#13362306   26/50 peers      5 MiB chain   14 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
