2021-10-06 02:02:41 UTC Syncing #13362580 0xbb13…c8b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356878 LI:#13362608   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:48 UTC Syncing #13362581 0x3dd1…e1dd     0.20 blk/s   31.2 tx/s    2.7 Mgas/s      0+   27 Qed Ancient:#12356879 LI:#13362608   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:51 UTC Syncing #13362581 0x3dd1…e1dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356879 LI:#13362609   13/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:02:56 UTC Syncing #13362581 0x3dd1…e1dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356879 LI:#13362609   18/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:01 UTC Syncing #13362581 0x3dd1…e1dd     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#12356879 LI:#13362610   20/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:10 UTC Syncing #13362582 0x5b74…7b66     0.20 blk/s   52.6 tx/s    3.8 Mgas/s      0+   28 Qed Ancient:#12356880 LI:#13362610   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:18 UTC Syncing #13362584 0x8438…a095     0.20 blk/s    7.4 tx/s    0.8 Mgas/s      0+   27 Qed Ancient:#12356882 LI:#13362611   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:18 UTC Syncing #13362583 0x0c32…e40a     0.20 blk/s   10.2 tx/s    1.2 Mgas/s      0+   28 Qed Ancient:#12356881 LI:#13362611   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:25 UTC Syncing #13362584 0x8438…a095     0.20 blk/s    4.6 tx/s    0.5 Mgas/s      0+   29 Qed Ancient:#12356882 LI:#13362613   21/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:27 UTC Syncing #13362584 0x8438…a095     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12356882 LI:#13362614   15/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:32 UTC Syncing #13362584 0x8438…a095     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   30 Qed Ancient:#12356882 LI:#13362614   14/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:39 UTC Syncing #13362586 0xfb40…ea20     0.40 blk/s   43.8 tx/s    4.1 Mgas/s      0+   28 Qed Ancient:#12356884 LI:#13362614   14/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:46 UTC Syncing #13362586 0xfb40…ea20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12356884 LI:#13362614   14/25 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:46 UTC Syncing #13362586 0xfb40…ea20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12356884 LI:#13362617   13/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:51 UTC Syncing #13362586 0xfb40…ea20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12356884 LI:#13362617   14/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:03:56 UTC Syncing #13362586 0xfb40…ea20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12356884 LI:#13362618   16/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:04:01 UTC Syncing #13362586 0xfb40…ea20     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12356884 LI:#13362619   18/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:04:06 UTC Syncing #13362587 0x247b…9a7c     0.20 blk/s   61.4 tx/s    5.5 Mgas/s      0+   34 Qed Ancient:#12356885 LI:#13362620   18/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 02:04:13 UTC Syncing #13362587 0x247b…9a7c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12356886 LI:#13362620   18/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
