2021-10-07 18:57:21 UTC Syncing #13373492 0x94ed…128d     0.40 blk/s   24.8 tx/s    1.8 Mgas/s      0+    5 Qed Ancient:#12853399 LI:#13373488    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:21 UTC Syncing #13373492 0x94ed…128d     0.20 blk/s   12.4 tx/s    0.9 Mgas/s      0+    5 Qed Ancient:#12853399 LI:#13373488    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:21 UTC Syncing #13373492 0x94ed…128d     0.13 blk/s    8.3 tx/s    0.6 Mgas/s      0+    5 Qed Ancient:#12853399 LI:#13373488    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:23 UTC Syncing #13373492 0x94ed…128d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12853399 LI:#13373488    1/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:34 UTC Syncing #13373493 0xc529…2d58     0.10 blk/s   42.0 tx/s    3.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    1/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:34 UTC Syncing #13373493 0xc529…2d58     0.20 blk/s   84.0 tx/s    6.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    1/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:38 UTC Syncing #13373493 0xc529…2d58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    0/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:43 UTC Syncing #13373493 0xc529…2d58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    0/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:48 UTC Syncing #13373493 0xc529…2d58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    0/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:53 UTC Syncing #13373493 0xc529…2d58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    0/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:57:58 UTC Syncing #13373493 0xc529…2d58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    0/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:58:03 UTC Syncing #13373493 0xc529…2d58     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12853400 LI:#13373488    1/25 peers      3 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
