2021-10-07 18:51:38 UTC Syncing #13373467 0xd527…fe5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853370 LI:#13373492   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:43 UTC Syncing #13373467 0xd527…fe5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853370 LI:#13373492   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:48 UTC Syncing #13373467 0xd527…fe5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853370 LI:#13373492   27/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:53 UTC Syncing #13373467 0xd527…fe5f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#12853370 LI:#13373493   27/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:51:59 UTC Syncing #13373468 0x290f…c1e9     0.20 blk/s   58.4 tx/s    4.0 Mgas/s      0+   27 Qed Ancient:#12853371 LI:#13373493   27/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:03 UTC Syncing #13373468 0x290f…c1e9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853371 LI:#13373493   27/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:12 UTC Syncing #13373469 0x1bf7…a0b8     0.20 blk/s   31.8 tx/s    2.2 Mgas/s      0+   26 Qed Ancient:#12853372 LI:#13373493   29/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:13 UTC Syncing #13373469 0x1bf7…a0b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853372 LI:#13373493   29/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:18 UTC Syncing #13373469 0x1bf7…a0b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853372 LI:#13373493   31/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:23 UTC Syncing #13373469 0x1bf7…a0b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853372 LI:#13373494   31/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:28 UTC Syncing #13373469 0x1bf7…a0b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853372 LI:#13373494   32/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:33 UTC Syncing #13373469 0x1bf7…a0b8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   27 Qed Ancient:#12853372 LI:#13373494   32/50 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:39 UTC Syncing #13373470 0x9bbc…a8fc     0.20 blk/s   73.8 tx/s    4.8 Mgas/s      0+   26 Qed Ancient:#12853373 LI:#13373494   32/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:43 UTC Syncing #13373470 0x9bbc…a8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853373 LI:#13373494   33/50 peers      5 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:52:48 UTC Syncing #13373470 0x9bbc…a8fc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853373 LI:#13373494   33/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:00 UTC Syncing #13373471 0x60ea…5173     0.10 blk/s   45.8 tx/s    3.0 Mgas/s      0+   25 Qed Ancient:#12853374 LI:#13373494   33/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:00 UTC Syncing #13373471 0x60ea…5173     0.20 blk/s   91.6 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12853374 LI:#13373494   33/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:03 UTC Syncing #13373471 0x60ea…5173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853374 LI:#13373495   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:11 UTC Syncing #13373471 0x60ea…5173     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   26 Qed Ancient:#12853374 LI:#13373495   34/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 18:53:17 UTC Syncing #13373472 0xda37…4a08     0.20 blk/s  107.4 tx/s    6.0 Mgas/s      0+   26 Qed Ancient:#12853375 LI:#13373496   32/50 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
