2021-10-06 07:29:13 UTC Syncing #13364102 0x6fae…9e5b     0.20 blk/s   53.2 tx/s    3.8 Mgas/s      0+   14 Qed Ancient:#12425911 LI:#13364115   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:18 UTC Syncing #13364104 0x7a0f…c22b     0.41 blk/s   51.2 tx/s    4.0 Mgas/s      0+   14 Qed Ancient:#12425914 LI:#13364117   17/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:22 UTC Syncing #13364104 0x7a0f…c22b     0.20 blk/s   45.0 tx/s    3.3 Mgas/s      0+   13 Qed Ancient:#12425915 LI:#13364117   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:27 UTC Syncing #13364106 0x004d…ec21     0.40 blk/s   50.6 tx/s    3.6 Mgas/s      0+   11 Qed Ancient:#12425917 LI:#13364117   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:32 UTC Syncing #13364106 0x004d…ec21     0.20 blk/s   84.8 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12425918 LI:#13364118   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:40 UTC Syncing #13364107 0x109d…ad28     0.20 blk/s   92.6 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#12425919 LI:#13364118   17/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:45 UTC Syncing #13364110 0xa41c…de95     0.60 blk/s   57.6 tx/s    5.4 Mgas/s      0+    8 Qed Ancient:#12425922 LI:#13364118   17/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:50 UTC Syncing #13364110 0xa41c…de95     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12425922 LI:#13364118   17/25 peers      4 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:29:56 UTC Syncing #13364111 0xb065…c520     0.20 blk/s   70.8 tx/s    5.9 Mgas/s      0+    8 Qed Ancient:#12425923 LI:#13364119   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:30:01 UTC Syncing #13364112 0x7792…d577     0.20 blk/s   32.4 tx/s    3.3 Mgas/s      0+    7 Qed Ancient:#12425924 LI:#13364119   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:30:02 UTC Syncing #13364114 0xe290…7dce     0.40 blk/s   49.2 tx/s    4.8 Mgas/s      0+    5 Qed Ancient:#12425926 LI:#13364119   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:30:08 UTC Syncing #13364115 0x99c4…0f0b     0.20 blk/s   67.2 tx/s    5.6 Mgas/s      0+    4 Qed Ancient:#12425927 LI:#13364120   17/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:30:14 UTC Syncing #13364117 0x0691…8b09     0.40 blk/s   19.0 tx/s    1.5 Mgas/s      0+    4 Qed Ancient:#12425929 LI:#13364120   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:31:01 UTC Imported #13364121 0x9c59…0dfe (251 txs, 17.42 Mgas, 4691 ms, 119.94 KiB)
2021-10-06 07:31:22 UTC  Ancient:#12428746 AB:#12429217   10/25 peers     75 MiB chain  207 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
