2021-10-05 22:59:37 UTC Syncing #13361811 0x77a5…cb55     0.20 blk/s   32.4 tx/s    3.1 Mgas/s      0+   18 Qed Ancient:#12320202 LI:#13361830   30/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:42 UTC Syncing #13361811 0x77a5…cb55     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12320202 LI:#13361831   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:47 UTC Syncing #13361813 0x19af…8c7a     0.40 blk/s   99.2 tx/s    7.8 Mgas/s      0+   18 Qed Ancient:#12320205 LI:#13361832   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:52 UTC Syncing #13361814 0x7848…4906     0.20 blk/s    8.2 tx/s    0.8 Mgas/s      0+   17 Qed Ancient:#12320206 LI:#13361832   30/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 22:59:57 UTC Syncing #13361814 0x7848…4906     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12320206 LI:#13361832   30/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:00:02 UTC Syncing #13361815 0x9701…8c8b     0.20 blk/s   79.0 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#12320207 LI:#13361833   30/50 peers      8 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:00:07 UTC Syncing #13361816 0x06a8…bc58     0.20 blk/s   24.2 tx/s    1.9 Mgas/s      0+   17 Qed Ancient:#12320208 LI:#13361834   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:00:12 UTC Syncing #13361817 0x1521…1b52     0.20 blk/s   36.8 tx/s    2.4 Mgas/s      0+   16 Qed Ancient:#12320209 LI:#13361834   30/50 peers      6 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:00:17 UTC Syncing #13361819 0x1709…40cd     0.40 blk/s   81.6 tx/s    4.8 Mgas/s      0+   14 Qed Ancient:#12320211 LI:#13361834   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-05 23:00:22 UTC Syncing #13361820 0x8e13…642e     0.20 blk/s   30.4 tx/s    2.2 Mgas/s      0+   13 Qed Ancient:#12320212 LI:#13361834   30/50 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
