2021-10-07 12:18:13 UTC Syncing #13371771 0x56f6…c541     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766442 LI:#13371781   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:21 UTC Syncing #13371772 0x9250…d1dc     0.20 blk/s   95.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#12766443 LI:#13371781   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:23 UTC Syncing #13371772 0x9250…d1dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766443 LI:#13371781   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:28 UTC Syncing #13371772 0x9250…d1dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766443 LI:#13371781   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:33 UTC Syncing #13371772 0x9250…d1dc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766443 LI:#13371781   29/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:41 UTC Syncing #13371773 0x1ed8…8cb0     0.20 blk/s   29.0 tx/s    2.8 Mgas/s      0+    8 Qed Ancient:#12766444 LI:#13371782   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:43 UTC Syncing #13371773 0x1ed8…8cb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766444 LI:#13371782   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:51 UTC Syncing #13371774 0x9939…c525     0.20 blk/s   25.4 tx/s    2.0 Mgas/s      0+    8 Qed Ancient:#12766445 LI:#13371784   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:53 UTC Syncing #13371774 0x9939…c525     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12766445 LI:#13371784   28/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:18:58 UTC Syncing #13371775 0x3c70…bffc     0.20 blk/s   60.4 tx/s    3.7 Mgas/s      0+    8 Qed Ancient:#12766446 LI:#13371784   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:03 UTC Syncing #13371775 0x3c70…bffc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766446 LI:#13371784   30/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:08 UTC Syncing #13371775 0x3c70…bffc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766446 LI:#13371784   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:13 UTC Syncing #13371775 0x3c70…bffc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766446 LI:#13371784   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:18 UTC Syncing #13371775 0x3c70…bffc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12766446 LI:#13371784   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:23 UTC Syncing #13371776 0xa17e…7117     0.20 blk/s   77.6 tx/s    5.7 Mgas/s      0+    8 Qed Ancient:#12766447 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:33 UTC Syncing #13371777 0x3bf4…477b     0.10 blk/s   12.5 tx/s    1.0 Mgas/s      0+    7 Qed Ancient:#12766448 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:33 UTC Syncing #13371777 0x3bf4…477b     0.20 blk/s   25.0 tx/s    1.9 Mgas/s      0+    7 Qed Ancient:#12766448 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:38 UTC Syncing #13371777 0x3bf4…477b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12766448 LI:#13371785   31/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:54 UTC Syncing #13371778 0xe1f4…dd9f     0.20 blk/s   28.4 tx/s    2.1 Mgas/s      0+    6 Qed Ancient:#12766449 LI:#13371786   32/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:54 UTC Syncing #13371779 0x2ee4…3908     0.20 blk/s   18.1 tx/s    1.3 Mgas/s      0+    6 Qed Ancient:#12766450 LI:#13371786   31/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:54 UTC Syncing #13371779 0x2ee4…3908     0.10 blk/s    3.9 tx/s    0.3 Mgas/s      0+    6 Qed Ancient:#12766450 LI:#13371786   31/50 peers      8 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:19:58 UTC Syncing #13371779 0x2ee4…3908     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12766450 LI:#13371786   30/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 12:20:04 UTC Syncing #13371780 0x3366…75a5     0.20 blk/s   60.0 tx/s    4.7 Mgas/s      0+    5 Qed Ancient:#12766451 LI:#13371786   29/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
