2021-10-06 08:05:00 UTC Syncing #13364246 0x12e8…c8fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12433913 LI:#13364267    7/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:00 UTC Syncing #13364246 0x12e8…c8fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12433913 LI:#13364267    7/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:03 UTC Syncing #13364246 0x12e8…c8fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12433913 LI:#13364267    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:10 UTC Syncing #13364247 0xeb2c…32e1     0.20 blk/s   58.8 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12433914 LI:#13364267    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:16 UTC Syncing #13364248 0x15ce…cccb     0.20 blk/s   69.8 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12433915 LI:#13364268    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:21 UTC Syncing #13364249 0xa470…f5a1     0.20 blk/s   50.8 tx/s    5.9 Mgas/s      0+   18 Qed Ancient:#12433916 LI:#13364268    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:28 UTC Syncing #13364249 0xa470…f5a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433916 LI:#13364268    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:28 UTC Syncing #13364251 0x8b15…b89c     0.20 blk/s   29.0 tx/s    2.3 Mgas/s      0+   16 Qed Ancient:#12433919 LI:#13364268    6/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:35 UTC Syncing #13364252 0xbbc6…4a7d     0.60 blk/s  116.0 tx/s    8.8 Mgas/s      0+   15 Qed Ancient:#12433920 LI:#13364268    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:42 UTC Syncing #13364254 0xd3b4…090f     0.40 blk/s   19.4 tx/s    2.0 Mgas/s      0+   13 Qed Ancient:#12433922 LI:#13364268    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:48 UTC Syncing #13364255 0x320d…554f     0.20 blk/s   61.4 tx/s    5.8 Mgas/s      0+   12 Qed Ancient:#12433923 LI:#13364268    5/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:48 UTC Syncing #13364257 0xebbf…991c     0.40 blk/s   50.8 tx/s    4.9 Mgas/s      0+   10 Qed Ancient:#12433925 LI:#13364268    5/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:06:00 UTC Syncing #13364259 0xa663…5cb4     0.20 blk/s   56.9 tx/s    4.2 Mgas/s      0+    8 Qed Ancient:#12433928 LI:#13364268    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:06:00 UTC Syncing #13364257 0xebbf…991c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12433925 LI:#13364268    5/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:06:06 UTC Syncing #13364261 0x57cd…6241     0.80 blk/s  175.6 tx/s   12.2 Mgas/s      0+    6 Qed Ancient:#12433930 LI:#13364268    5/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:06:38 UTC  Ancient:#12434761 AB:#12437206    4/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:06:38 UTC  Ancient:#12434761 AB:#12437206    4/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:06:52 UTC Imported #13364268 0xfe7c…9c1a (223 txs, 18.09 Mgas, 5427 ms, 96.14 KiB)
2021-10-06 08:07:03 UTC  Ancient:#12436220 AB:#12437206    1/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
