2021-10-06 08:40:18 UTC Syncing #13364379 0xb8bd…139c     0.20 blk/s   14.0 tx/s    1.1 Mgas/s      0+    8 Qed Ancient:#12443949 LI:#13364388    8/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:18 UTC Syncing #13364379 0xb8bd…139c     0.10 blk/s    7.0 tx/s    0.6 Mgas/s      0+    8 Qed Ancient:#12443949 LI:#13364388    8/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:22 UTC Syncing #13364379 0xb8bd…139c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12443949 LI:#13364388    9/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:27 UTC Syncing #13364379 0xb8bd…139c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12443949 LI:#13364388   10/25 peers      1 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:41 UTC Syncing #13364380 0xa91d…7ea1     0.10 blk/s   24.3 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#12443950 LI:#13364388   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:41 UTC Syncing #13364380 0xa91d…7ea1     0.20 blk/s   48.6 tx/s    4.1 Mgas/s      0+    7 Qed Ancient:#12443950 LI:#13364388   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:42 UTC Syncing #13364380 0xa91d…7ea1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443950 LI:#13364388   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:51 UTC Syncing #13364381 0x11f8…d6af     0.20 blk/s   26.2 tx/s    2.7 Mgas/s      0+    6 Qed Ancient:#12443951 LI:#13364388   10/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:56 UTC Syncing #13364382 0x11ee…41d7     0.20 blk/s   21.0 tx/s    2.3 Mgas/s      0+    6 Qed Ancient:#12443951 LI:#13364388    7/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:40:57 UTC Syncing #13364382 0x11ee…41d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12443952 LI:#13364388    7/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:02 UTC Syncing #13364382 0x11ee…41d7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12443952 LI:#13364388   11/25 peers      2 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:30 UTC Syncing #13364383 0x5864…5e8d     0.04 blk/s    3.6 tx/s    0.3 Mgas/s      0+    7 Qed Ancient:#12443953 LI:#13364391   13/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:38 UTC Syncing #13364383 0x5864…5e8d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12443953 LI:#13364391   12/25 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:47 UTC Syncing #13364384 0xa111…3b37     0.19 blk/s   63.5 tx/s    5.7 Mgas/s      0+    7 Qed Ancient:#12444051 LI:#13364391   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:47 UTC Syncing #13364384 0xa111…3b37     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#12444139 LI:#13364391   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:58 UTC Syncing #13364385 0x8a89…dc1e     0.19 blk/s   15.8 tx/s    1.1 Mgas/s      0+    7 Qed Ancient:#12444141 LI:#13364393   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:41:58 UTC Syncing #13364386 0xf6f3…97f8     0.16 blk/s    6.3 tx/s    0.6 Mgas/s      0+    6 Qed Ancient:#12444142 LI:#13364393   10/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:42:10 UTC Syncing #13364386 0xf6f3…97f8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#12444142 LI:#13364393    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:42:10 UTC Syncing #13364387 0x1143…5cd0     0.13 blk/s    9.8 tx/s    0.8 Mgas/s      0+    5 Qed Ancient:#12444143 LI:#13364393    9/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:42:15 UTC Syncing #13364387 0x1143…5cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12444143 LI:#13364393    7/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:42:17 UTC Syncing #13364387 0x1143…5cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12444143 LI:#13364393    6/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
