2021-10-07 13:39:55 UTC Syncing #13372103 0x3d0c…9611     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12781899 LI:#13372119   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:39:58 UTC Syncing #13372103 0x3d0c…9611     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12781899 LI:#13372119   13/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:03 UTC Syncing #13372103 0x3d0c…9611     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12781899 LI:#13372119   15/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:08 UTC Syncing #13372103 0x3d0c…9611     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12781899 LI:#13372121   18/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:18 UTC Syncing #13372104 0x8762…c957     0.20 blk/s   93.4 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#12781900 LI:#13372121   17/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:25 UTC Syncing #13372108 0x2b7f…7499     0.40 blk/s   54.8 tx/s    3.8 Mgas/s      0+   13 Qed Ancient:#12781904 LI:#13372122   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:25 UTC Syncing #13372107 0xb849…602c     0.60 blk/s   56.6 tx/s    4.3 Mgas/s      0+   14 Qed Ancient:#12781903 LI:#13372122   17/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:34 UTC Syncing #13372109 0x1fcc…d8c0     0.20 blk/s   70.6 tx/s    4.2 Mgas/s      0+   13 Qed Ancient:#12781905 LI:#13372123   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:34 UTC Syncing #13372108 0x2b7f…7499     0.20 blk/s   53.0 tx/s    3.4 Mgas/s      0+   14 Qed Ancient:#12781904 LI:#13372123   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:41 UTC Syncing #13372110 0xb1ed…1677     0.40 blk/s  138.6 tx/s    8.8 Mgas/s      0+   14 Qed Ancient:#12781906 LI:#13372125   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:49 UTC Syncing #13372110 0xb1ed…1677     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12781906 LI:#13372125   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:49 UTC Syncing #13372111 0x981b…9493     0.10 blk/s   36.6 tx/s    3.0 Mgas/s      0+   13 Qed Ancient:#12781907 LI:#13372125   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 13:40:57 UTC Syncing #13372113 0xf84d…6488     0.40 blk/s   51.6 tx/s    4.5 Mgas/s      0+   11 Qed Ancient:#12781909 LI:#13372125   17/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
